A,30.4,30.51
AA,37.9,38.0
AAPL,121.98,124.62
ABC,41.25,41.25
ABI,34.03,34.65
ABK,9.94,10.72
ABT,52.84,53.24
ACAS,35.5,35.73
ACE,54.54,54.22
ACS,51.08,52.04
ADBE,32.58,33.07
ADI,26.7,27.32
ADM,45.41,46.0
ADP,39.95,40.28
ADSK,30.35,29.9
AEE,41.51,42.42
AEP,41.12,42.22
AES,18.29,18.5
AET,49.18,49.14
AFL,61.35,62.67
AGN,57.95,57.38
AIG,46.35,45.83
AIV,34.48,34.64
AIZ,62.47,62.06
AKAM,33.35,33.82
ALL,47.73,47.95
ALTR,17.04,17.5
AMAT,19.86,20.32
AMD,6.66,6.76
AMGN,45.25,45.64
AMP,49.55,50.53
AMT,37.66,37.64
AMZN,61.77,65.34
AN,14.47,14.9
ANF,76.69,78.65
AOC,40.86,41.51
APA,116.99,114.69
APC,63.73,64.16
APD,92.15,90.53
APOL,57.14,57.32
ASH,44.38,43.89
ATI,75.65,73.72
AVB,91.78,92.98
AVP,38.43,38.28
AVY,50.76,49.8
AW,10.42,10.49
AXP,41.77,42.65
AYE,50.59,51.83
AZO,117.0,116.78
BA,79.78,79.62
BAC,38.76,38.78
BAX,58.57,59.54
BBBY,28.57,29.14
BBT,30.38,30.71
BBY,42.45,42.6
BC,15.66,15.75
BCR,95.15,94.57
BDK,68.27,68.73
BDX,89.65,90.52
BEN,93.15,93.97
BF.B,64.08,64.53
BHI,66.6,66.8
BIG,17.01,17.38
BIIB,58.84,59.14
BJS,25.52,24.95
BK,43.68,44.3
BLL,44.6,43.66
BMC,32.19,32.65
BMS,24.61,24.74
BMY,22.23,22.14
BNI,87.64,88.26
BRCM,18.5,19.08
BRL,49.07,49.47
BSC,76.76,77.17
BSX,12.53,12.75
BTU,56.5,55.03
BUD,46.63,46.77
BXP,86.43,87.93
C,22.23,22.1
CA,22.35,22.5
CAG,22.02,22.24
CAH,58.9,58.4
CAM,42.0,41.42
CAT,72.67,71.74
CB,50.25,50.38
CBE,41.83,40.89
CBG,19.81,19.45
CBH,36.75,36.69
CBS,22.66,22.67
CC,4.27,4.4
CCE,24.3,24.85
CCL,39.18,40.05
CCU,31.6,31.75
CEG,90.33,91.37
CELG,56.34,57.32
CFC,6.03,5.93
CHK,46.4,46.25
CHRW,51.0,51.64
CI,44.24,44.17
CIEN,25.6,25.57
CINF,36.49,37.11
CIT,20.44,20.57
CL,76.0,76.94
CLX,57.72,57.7
CMA,35.51,36.82
CMCSA,19.91,19.98
CME,511.22,503.0
CMI,50.5,48.91
CMS,14.19,14.25
CNP,14.36,14.58
CNX,75.89,74.41
COF,44.63,45.42
COH,30.31,30.04
COL,57.78,57.66
COP,82.5,81.5
COST,62.18,62.39
COV,42.49,43.15
CPB,31.79,32.04
CPWR,7.62,7.73
CSC,42.86,43.68
CSCO,24.07,24.29
CSX,48.54,49.44
CTAS,28.86,29.25
CTL,35.57,35.33
CTSH,29.77,30.48
CTX,20.87,21.93
CTXS,32.48,33.12
CVG,14.01,14.51
CVH,52.12,51.4
CVS,39.78,40.92
CVX,86.66,86.73
CZN,10.86,10.96
D,39.93,40.26
DD,46.19,46.43
DDR,38.51,38.99
DDS,14.69,15.29
DE,86.93,86.69
DELL,19.89,19.67
DF,21.56,21.43
DFS,14.82,14.73
DGX,47.04,47.71
DHI,13.44,13.75
DHR,73.72,74.46
DIS,32.16,31.87
DOV,41.55,41.37
DOW,37.86,37.68
DRI,30.94,31.14
DTE,40.01,40.71
DTV,25.17,26.13
DUK,17.57,17.7
DVN,103.21,102.03
DYN,7.48,7.81
EBAY,25.5,26.25
ECL,46.53,45.86
ED,41.04,41.15
EDS,17.07,17.17
EFX,34.21,34.15
EIX,49.45,50.67
EK,17.58,17.48
EL,43.0,43.29
EMC,15.42,15.36
EMN,65.72,64.93
EMR,51.63,51.08
EOG,120.0,119.9
EP,16.36,16.1
EQ,41.87,42.3
EQR,38.71,38.81
ERTS,47.24,47.05
ESRX,61.72,61.92
ESV,59.1,60.97
ETFC,4.18,3.99
ETN,83.2,82.06
ETR,104.4,108.47
EXC,77.23,79.45
EXPD,40.58,41.03
EXPE,22.07,21.59
F,6.1,6.13
FCX,102.05,98.93
FDO,19.43,19.71
FDX,88.22,90.31
FE,67.09,69.44
FHN,16.71,16.96
FII,40.04,40.44
FIS,40.61,40.8
FISV,52.24,53.26
FITB,22.75,22.9
FLR,135.78,136.72
FNM,26.0,25.95
FO,64.62,64.94
FPL,60.9,62.15
FRE,23.2,22.57
FRX,40.0,39.52
GAS,33.76,34.12
GCI,29.9,29.42
GD,81.16,82.61
