A,30.37,30.6
AA,38.25,38.7104
AAPL,123.58,124.49
ABC,41.3,41.5
ABI,34.72,34.21
ABK,11.06,8.7
ABT,53.1,52.98
ACAS,35.35,34.7213
ACE,54.45,54.65
ACS,52.05,50.61
ADBE,33.0,32.42
ADI,27.31,27.57
ADM,45.75,46.58
ADP,40.09,40.2
ADSK,30.0,31.5081
AEE,42.14,42.4
AEP,42.22,41.89
AES,18.54,18.62
AET,49.07,50.06
AFL,62.52,63.0
AGN,57.63,57.05
AIG,45.82,44.61
AIV,34.69,34.9
AIZ,62.12,62.95
AKAM,34.0,34.8076
ALL,48.0,47.75
ALTR,17.57,17.925
AMAT,20.38,20.5
AMD,6.85,6.84
AMGN,45.65,45.25
AMP,50.3,50.32
AMT,37.64,38.02
AMZN,65.66,64.9901
AN,14.81,14.8
ANF,79.29,79.04
AOC,41.51,41.06
APA,115.95,115.86
APC,64.71,66.04
APD,90.49,92.32
APOL,57.22,55.1355
ASH,44.17,45.5
ATI,74.06,76.31
AVB,93.05,93.67
AVP,38.4,38.8
AVY,49.58,48.75
AW,10.61,10.59
AXP,43.05,42.23
AYE,51.9,51.5
AZO,117.5,117.26
BA,79.82,80.7124
BAC,38.65,37.55
BAX,59.29,58.1201
BBBY,29.26,28.83
BBT,31.09,31.15
BBY,42.8,42.8
BC,15.76,16.04
BCR,95.3,94.84
BDK,68.83,67.46
BDX,90.5,89.33
BEN,95.03,94.39
BF.B,64.49,64.73
BHI,67.75,70.01
BIG,20.17,21.23
BIIB,59.33,59.6901
BJS,25.19,25.56
BK,44.99,44.43
BLL,43.75,44.44
BMC,32.65,33.27
BMS,24.72,24.6307
BMY,22.28,22.19
BNI,89.0,89.68
BRCM,19.13,19.36
BRL,49.47,47.48
BSC,77.75,75.7828
BSX,12.82,12.79
BTU,55.89,56.66
BUD,46.8,46.94
BXP,88.07,88.57
C,22.32,22.15
CA,22.49,22.9
CAG,22.24,22.02
CAH,58.35,57.9
CAM,41.81,42.25
CAT,72.02,71.85
CB,50.4,50.25
CBE,40.77,41.58
CBG,19.78,18.99
CBH,37.09,37.01
CBS,22.63,22.64
CC,4.35,4.2
CCE,24.84,24.95
CCL,39.97,39.76
CCU,31.89,33.68
CEG,91.28,90.58
CELG,57.47,57.3
CFC,6.05,5.7
CHK,46.43,46.5
CHRW,51.65,52.8
CI,44.07,44.92
CIEN,25.89,25.9901
CINF,37.13,37.08
CIT,20.89,20.36
CL,77.47,76.63
CLX,57.56,57.94
CMA,37.0,36.34
CMCSA,19.94,19.8799
CME,503.0,518.44
CMI,48.4,49.56
CMS,14.25,14.03
CNP,14.64,14.5
CNX,75.01,77.6
COF,45.81,44.32
COH,30.47,29.9
COL,58.04,58.7
COP,81.63,82.63
COST,61.68,60.8299
COV,43.09,42.86
CPB,32.04,32.3
CPWR,7.78,7.7228
CSC,43.49,43.71
CSCO,24.45,24.2701
CSX,49.87,49.49
CTAS,29.45,29.32
CTL,35.44,35.43
CTSH,30.49,31.1401
CTX,22.05,22.28
CTXS,33.23,33.8
CVG,14.5,14.32
CVH,51.67,52.24
CVS,40.99,40.28
CVX,87.03,88.79
CZN,11.02,11.13
D,40.15,40.59
DD,46.82,47.3004
DDR,39.3,38.44
DDS,15.56,16.21
DE,86.99,89.28
DELL,19.69,19.7901
DF,21.36,21.53
DFS,14.68,14.72
DGX,47.66,47.08
DHI,13.99,14.26
DHR,73.55,74.08
DIS,31.9,31.64
DOV,41.36,41.91
DOW,38.05,37.71
DRI,31.26,30.63
DTE,40.9,40.66
DTV,25.67,25.79
DUK,17.79,17.62
DVN,102.21,103.7
DYN,7.87,7.81
EBAY,26.17,26.74
ECL,45.9,46.14
ED,41.2,41.03
EDS,17.06,17.17
EFX,34.25,34.44
EIX,50.9,51.16
EK,17.39,17.32
EL,42.96,44.0
EMC,15.46,15.4405
EMN,65.12,65.93
EMR,51.33,51.48
EOG,120.99,120.61
EP,16.21,16.09
EQ,43.05,42.11
EQR,38.83,38.74
ERTS,46.63,47.5301
ESRX,62.03,62.66
ESV,60.74,62.8491
ETFC,4.07,4.02
ETN,81.92,81.67
ETR,108.5,108.96
EXC,79.62,79.44
EXPD,41.28,41.84
EXPE,21.79,21.87
F,6.17,6.12
FCX,100.31,104.08
FDO,20.01,20.08
FDX,90.4,90.35
FE,69.44,70.44
FHN,17.25,16.12
FII,40.54,40.53
FIS,40.97,41.11
FISV,53.27,53.05
FITB,22.95,22.36
FLR,137.77,142.25
FNM,26.39,24.2738
FO,64.97,64.78
FPL,62.43,62.17
FRE,22.65,21.64
FRX,40.83,40.21
GAS,34.05,33.83
GCI,29.35,29.76
GD,82.86,83.52
GE,33.73,33.67
GENZ,74.09,74.93
GGP,34.9,35.88
GILD,49.59,48.96
GIS,55.89,56.0
GLW,23.26,23.4801
GM,23.16,22.97
GME,43.9,45.23
GNW,23.0,22.87
GOOG,445.52,447.6999
GPC,41.12,40.75
GPS,20.44,20.52
GR,60.36,61.19
GS,163.91,164.97
GT,27.79,27.22
GWW,73.87,74.77
HAL,38.6,39.26
HAR,42.84,42.75
HAS,26.18,26.63
HBAN,12.18,11.64
HCBK,15.96,15.9
HD,27.0,26.76
HES,93.81,96.06
HIG,69.79,68.61
HNZ,43.81,44.09
HOG,36.57,36.3072
HON,58.7,59.02
HOT,50.78,50.65
HPC,18.47,18.65
HPQ,48.59,48.31
HRB,17.93,17.24
HSP,43.76,43.45
HST,16.73,16.8
HSY,37.0,37.21
HUM,68.43,68.59
IACI,19.65,19.8115
IBM,116.41,115.39
ICE,136.99,136.86
IFF,42.32,42.99
IGT,46.13,45.98
INTC,20.03,20.1999
INTU,27.26,27.1699
IP,32.05,32.44
IPG,8.41,8.39
IR,42.1,42.91
ITT,56.11,56.51
ITW,48.53,48.26
JAVA,16.43,16.46
JBL,13.27,13.0
JCI,32.83,33.11
JCP,47.67,48.11
JDSU,12.86,13.02
JEC,80.5,79.81
JNJ,62.76,63.13
JNPR,26.42,27.2201
JNS,23.79,23.44
JNY,14.16,13.89
JPM,39.36,38.7414
JWN,37.91,37.34
K,50.87,50.56
KBH,22.81,23.06
KEY,21.58,21.24
KFT,30.97,31.0101
KG,10.02,9.43
KIM,34.49,34.47
KLAC,41.65,41.81
KMB,64.55,64.47
KO,59.24,59.68
KR,25.14,25.11
KSS,45.06,44.68
LEG,16.6,16.29
LEH,48.68,48.06
LEN,17.42,16.87
LH,78.91,79.32
LIZ,18.09,17.76
LLL,106.59,106.85
LLTC,27.9,28.99
LLY,50.01,50.42
LM,66.44,64.49
LMT,103.6,104.71
LNC,50.41,49.91
LOW,24.07,23.75
LSI,5.16,5.22
LTD,15.27,15.36
LTR,41.46,41.88
LUK,44.85,46.18
LUV,12.29,12.99
LXK,33.17,33.47
M,25.2,25.28
MAR,35.44,34.91
MAS,19.16,18.98
MAT,19.67,19.73
MBI,13.12,12.18
MCD,53.83,53.94
MCHP,31.97,32.15
MCK,58.35,58.92
MCO,37.7,37.59
MDP,42.74,42.85
MDT,49.53,49.9
MER,49.84,49.3172
MET,57.82,57.71
MHP,40.49,40.39
MHS,41.77,43.24
MI,23.02,22.52
MIL,70.68,71.68
MKC,35.19,34.91
MMC,25.53,25.44
MMM,78.91,78.93
MNST,25.84,27.11
MO,73.6,74.91
MOLX,22.58,22.66
MON,112.6,115.25
MOT,10.08,10.02
MRK,43.76,43.25
MRO,53.44,53.64
MS,41.4,41.47
MSFT,27.72,28.1199
MTB,79.9,78.61
MTG,14.22,14.46
MTW,40.88,41.3056
MU,7.08,7.0327
MUR,82.39,83.93
MWV,25.61,26.2
MYL,11.18,10.81
NBL,79.98,80.72
NBR,30.79,31.75
NCC,15.61,15.14
NE,49.94,49.88
NEM,50.8,51.33
NI,18.01,17.76
NKE,60.81,60.81
NOC,80.0,80.33
NOV,63.44,64.11
NOVL,6.46,6.51
NSC,53.52,54.42
NSM,16.88,16.85
NTAP,22.6,22.9799
NTRS,69.07,69.01
NUE,67.76,69.45
NVDA,21.05,21.1699
NVLS,22.2,22.32
NWL,22.82,22.46
NWS.A,18.83,18.72
NYT,18.27,18.86
NYX,63.69,63.3309
ODP,11.57,11.27
OMC,44.97,44.88
OMX,21.73,21.63
ORCL,18.72,18.7999
OXY,76.59,78.4624
PAYX,31.87,31.85
PBG,34.13,33.88
PBI,35.55,35.54
PCAR,43.71,44.09
PCG,38.72,37.98
PCL,40.5,40.46
PCP,104.2,105.68
PDCO,35.52,35.72
PEG,45.87,45.95
PEP,70.33,70.28
PFE,22.42,22.0472
PFG,54.94,54.35
PG,66.29,66.7024
PGN,42.55,42.42
PGR,17.85,17.81
PH,64.12,64.82
PHM,12.97,13.12
PKI,24.92,25.01
PLD,53.19,53.45
PLL,38.29,38.63
PNC,60.37,60.01
PNW,35.84,35.68
POM,25.39,25.44
PPG,61.51,61.74
PPL,47.18,46.98
PRU,71.87,71.28
PSA,81.6,81.18
PTV,25.5,25.9
PX,79.35,82.24
Q,5.33,5.32
QCOM,41.3,41.4999
QLGC,15.69,15.83
R,59.23,58.4
RAI,63.14,63.95
RDC,40.91,41.77
RF,21.09,20.94
RHI,26.53,26.43
RIG,137.24,141.16
RL,62.88,61.21
ROH,54.18,54.67
ROK,54.04,54.23
RRC,60.89,61.15
RRD,30.35,30.44
RSH,17.11,17.13
RTN,65.1,65.38
RX,22.33,22.32
S,6.98,7.0
SAF,45.49,44.99
SBUX,18.0,18.1399
SCHW,19.65,19.8
SE,23.01,23.6
SEE,24.4,24.78
SGP,20.87,20.7
SHLD,95.98,96.56
SHW,51.22,51.5
SIAL,55.92,56.63
SII,62.94,64.13
SLB,85.01,87.85
SLE,12.97,12.91
SLM,19.45,19.44
SNA,49.52,49.45
SNDK,22.8,22.4272
SO,35.21,34.97
SOV,10.9,10.63
SPG,86.62,86.6
SPLS,22.15,22.43
SRE,52.81,52.75
SSP,42.69,43.0
STI,56.55,56.43
STJ,43.76,43.67
STR,57.7,57.68
STT,78.5,78.39
STZ,19.12,18.76
SUN,61.11,61.07
SVU,28.82,28.26
SWK,48.76,48.6
SWY,29.7,29.37
SYK,65.9,65.73
SYMC,17.1,17.02
SYY,28.3,28.48
T,35.19,35.45
TAP,53.51,52.7
TDC,25.59,26.53
TE,15.17,15.2
TEG,45.74,45.77
TEL,32.93,32.69
TER,12.3,12.39
TEX,66.35,66.9191
TGT,53.0,52.8
THC,5.1,5.09
TIE,19.27,19.46
TIF,39.17,38.93
TJX,33.39,33.06
TLAB,6.24,6.28
TMK,60.84,60.06
TMO,55.25,54.85
TROW,49.8,49.08
TRV,46.63,47.49
TSN,15.24,16.19
TSO,36.0,35.9
TSS,22.6,22.76
TT,45.42,45.55
TWX,15.3,15.3027
TXN,29.21,29.75
TXT,55.45,56.37
TYC,41.29,42.26
UIS,4.1,4.23
UNH,47.28,47.22
UNM,22.77,22.38
UNP,124.75,125.75
UPS,70.89,72.3
USB,32.03,31.78
UST,54.38,54.51
UTX,68.29,69.73
VAR,51.25,51.48
VFC,76.8,77.1899
VIA.B,40.0,40.25
VLO,56.68,56.2309
VMC,71.58,70.5
VNO,83.49,83.8
VRSN,34.63,35.38
VZ,35.95,35.95
WAG,37.0,36.28
WAT,61.0,60.85
WB,29.82,28.7291
WEN,24.0,24.07
WFC,29.26,28.98
WFMI,35.78,35.66
WFR,77.91,78.049
WFT,68.0,70.41
WHR,84.71,84.34
WIN,11.71,12.05
WLP,70.96,71.44
WM,13.58,12.7962
WMB,35.8,36.99
WMI,32.95,33.85
WMT,49.96,49.5519
WPI,28.05,28.15
WPO,729.75,727.08
WU,21.75,22.19
WWY,60.12,60.24
WY,61.79,63.12
WYE,42.76,42.53
WYN,22.23,21.33
X,109.91,114.69
XEL,20.18,20.23
XL,36.32,34.4
XLNX,22.53,22.79
XOM,86.8,87.19
XRX,14.43,14.39
XTO,62.73,61.78
YHOO,28.02,28.674
YUM,35.4,36.2
ZION,46.51,46.07
ZMH,76.48,76.85
HCP,34.76,35.02
PM,51.16,51.21
ISRG,289.0,280.91
SWN,46.84,45.98
COG,67.75,65.03
L,48.7,49.0
LO,70.84,68.83
MEE,94.31,91.1
AKS,65.86,56.65
SNI,39.85,41.75
DVA,56.21,56.14
FTR,11.59,11.43
MA,240.47,237.27
IVZ,25.41,24.89
CF,146.93,138.02
CRM,55.75,52.37
FAST,53.45,52.4
HRS,48.0,47.14
PXD,54.51,50.92
APH,34.25,34.13
FLS,69.15,67.79
DPS,22.66,23.79
CEPH,72.01,76.09
NDAQ,32.48,31.37
PBCT,17.55,17.17
SJM,44.85,45.18
WEC,43.15,42.84
WYNN,60.74,51.59
XRAY,30.4,31.53
MWW,12.19,11.62
LIFE,22.1,23.89
SRCL,55.58,56.15
DNB,73.45,71.56
EQT,31.7,30.71
MFE,33.6,33.18
RSG,23.49,23.42
NWSA,8.42,8.75
FLIR,30.34,31.76
IRM,24.62,24.79
OI,27.29,27.27
SCG,35.65,36.37
DNR,15.97,16.77
DO,88.91,90.0
DV,53.03,52.91
FTI,46.84,47.93
HCN,42.09,43.01
HRL,37.63,37.99
NU,23.83,24.31
ORLY,38.51,38.23
PCS,8.13,8.01
PWR,22.51,23.04
RHT,22.12,22.28
TWC,34.72,35.92
VIA,25.58,26.03
VTR,38.55,39.01
WDC,33.3,32.85
ARG,45.47,46.54
CFN,23.45,23.99
CLF,36.4,36.67
FMC,52.12,52.48
FSLR,122.99,120.76
MJN,42.55,43.0
PCLN,167.94,168.01
ROP,50.96,52.13
ROST,45.21,45.54
SAI,17.99,18.28
V,78.52,79.59
AON,39.45,38.6
NRG,21.74,21.59
URBN,30.94,30.91
BRK.B,79.99,81.91
